"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4176","should not be able to make an appointment with empty credentials","webkit","2026-08-05","passed","2026-08-05","Make an Appointment","katalon/appointment.spec.ts","",""
"","3717","should not be able to make an appointment with empty credentials","Mobile Chrome","2026-08-05","passed","2026-08-05","Make an Appointment","katalon/appointment.spec.ts","",""
"","3100","should not be able to make an appointment with invalid credentials","webkit","2026-08-05","skipped","2026-08-05","Make an Appointment","katalon/appointment.spec.ts","",""
"","3705","should not be able to make an appointment with empty credentials","chromium","2026-08-05","passed","2026-08-05","Make an Appointment","katalon/appointment.spec.ts","",""
"","2933","get started link","firefox","2026-08-05","passed","2026-08-05","","example.spec.ts","",""
"","2503","has title","webkit","2026-08-05","passed","2026-08-05","","example.spec.ts","",""
"","5860","should not be able to make an appointment with invalid credentials","chromium","2026-08-05","passed","2026-08-05","Make an Appointment","katalon/appointment.spec.ts","",""
"","6851","should not be able to make an appointment with invalid credentials","firefox","2026-08-05","passed","2026-08-05","Make an Appointment","katalon/appointment.spec.ts","",""
"","1800","has title","chromium","2026-08-05","passed","2026-08-05","","example.spec.ts","",""
"","2530","has title","firefox","2026-08-05","passed","2026-08-05","","example.spec.ts","",""
"","19517","should be able to make an appointment","firefox","2026-08-05","failed","2026-08-05","Make an Appointment","katalon/appointment.spec.ts","",""
"","2727","get started link","chromium","2026-08-05","passed","2026-08-05","","example.spec.ts","",""
"","18715","should be able to make an appointment","Mobile Chrome","2026-08-05","failed","2026-08-05","Make an Appointment","katalon/appointment.spec.ts","",""
"","18456","should be able to make an appointment","chromium","2026-08-05","failed","2026-08-05","Make an Appointment","katalon/appointment.spec.ts","",""
"","3218","get started link","webkit","2026-08-05","passed","2026-08-05","","example.spec.ts","",""
"","18891","should be able to make an appointment","webkit","2026-08-05","failed","2026-08-05","Make an Appointment","katalon/appointment.spec.ts","",""
"","1890","has title","Mobile Chrome","2026-08-05","passed","2026-08-05","","example.spec.ts","",""
"","1759","should not be able to make an appointment with empty credentials","firefox","2026-08-05","skipped","2026-08-05","Make an Appointment","katalon/appointment.spec.ts","",""
"","5838","should not be able to make an appointment with invalid credentials","Mobile Chrome","2026-08-05","passed","2026-08-05","Make an Appointment","katalon/appointment.spec.ts","",""
"","2698","get started link","Mobile Chrome","2026-08-05","passed","2026-08-05","","example.spec.ts","",""
